combination,symbols,kr_count,us_count,annual_return,annual_volatility,sharpe_zero_rate,max_drawdown,average_pair_correlation
069500|IWM|IJS|IWD,"069500,IWM,IJS,IWD",1,3,0.16083396391059132,0.15658286148296727,1.027149219188886,-0.15734068763808196,0.5452079416456505
229200|ITOT|IJS|IWF,"229200,ITOT,IJS,IWF",1,3,0.11772772135107415,0.15659996574362248,0.7517736085831079,-0.20869087886816917,0.48857582327617405
292190|226980|IWM|IWF,"292190,226980,IWM,IWF",2,2,0.1570305769596036,0.15662350794248464,1.0025990288588635,-0.2180554257678411,0.38812111026509877
069500|226490|IVV|ITOT,"069500,226490,IVV,ITOT",2,2,0.18963154300941,0.15671213143844917,1.210062943237361,-0.1944250018809156,0.5030610857424376
226490|292190|IVV|IJS,"226490,292190,IVV,IJS",2,2,0.18002591078524452,0.15678639379112239,1.1482240673580568,-0.19237308365199024,0.43186633343812814
226980|ITOT|IWM|IJS,"226980,ITOT,IWM,IJS",1,3,0.13193122519677192,0.156790648423865,0.841448303983739,-0.18134601737877476,0.5507670719426535
275290|ITOT|IWM|IJS,"275290,ITOT,IWM,IJS",1,3,0.16207617979124977,0.1568039421641188,1.0336231191280432,-0.17018427146153414,0.5230448107880487
229200|226980|ITOT|IWM,"229200,226980,ITOT,IWM",2,2,0.10490479234993774,0.15682044840474466,0.668948427434568,-0.2229276220656915,0.4018840930766241
229200|IVV|ITOT|IWF,"229200,IVV,ITOT,IWF",1,3,0.12614928176951912,0.15690106439034954,0.8040052644619161,-0.21919622184834686,0.6078268634736934
292190|IVV|IWM|IJS,"292190,IVV,IWM,IJS",1,3,0.16019436545986943,0.15704738659815165,1.020038403248124,-0.17654897391727975,0.5258451471437738
226490|ITOT|IWM|IJS,"226490,ITOT,IWM,IJS",1,3,0.15113401630434192,0.1570771879262767,0.9621640054778408,-0.1801860901530833,0.5484905185275185
069500|275290|IWD|IWF,"069500,275290,IWD,IWF",2,2,0.19917757892943752,0.1571897413780166,1.26711563479481,-0.1928011724451104,0.4096665479792389
226490|229200|IJS|IWF,"226490,229200,IJS,IWF",2,2,0.12846172555927207,0.15722909054160195,0.8170353534245103,-0.2255445462035376,0.3306396451311274
226490|292190|IWM|IWD,"226490,292190,IWM,IWD",2,2,0.17427564111659993,0.15723101718577595,1.1084049714611013,-0.19186352765248593,0.4596529500652686
069500|226980|IWM|IWF,"069500,226980,IWM,IWF",2,2,0.16047955657278098,0.15728351661585585,1.0203202473195652,-0.21522324793638503,0.38114667769835825
069500|229200|IVV|IWM,"069500,229200,IVV,IWM",2,2,0.13661691222621264,0.15729196059360395,0.8685562295150637,-0.22156277419677695,0.36749156611657474
069500|IVV|IWM|IWF,"069500,IVV,IWM,IWF",1,3,0.17121325127961,0.15729957010594772,1.0884533960537264,-0.19964353749188202,0.5387461287862195
229200|IWM|IJS|IWD,"229200,IWM,IJS,IWD",1,3,0.10667245328332323,0.15736313667235202,0.6778744726309531,-0.17475169011800096,0.522380254081017
292190|ITOT|IWM|IWF,"292190,ITOT,IWM,IWF",1,3,0.16549936385897573,0.15758234824401812,1.0502404977662727,-0.20825183367062006,0.551129332411621
292190|229200|IVV|IWM,"292190,229200,IVV,IWM",2,2,0.13316793261303522,0.15760904831185385,0.8449256818653069,-0.22517636169968125,0.37989547304370835
069500|275290|IJS|IWD,"069500,275290,IJS,IWD",2,2,0.1916076727228743,0.15763946463492215,1.2154803568168622,-0.18638180012199423,0.41443603354610165
226490|229200|IVV|IWF,"226490,229200,IVV,IWF",2,2,0.13688328597771704,0.15766274893712284,0.8682030910948227,-0.236889719740925,0.42291335476931424
069500|275290|IVV|ITOT,"069500,275290,IVV,ITOT",2,2,0.20057370649631784,0.15776230094882357,1.2713665133559495,-0.193814346603574,0.47719294759850656
229200|226980|IVV|IWF,"229200,226980,IVV,IWF",2,2,0.117680494870147,0.15781515707009014,0.7456856302964727,-0.2304907161226295,0.42654667189532597
IVV|IJS|IWD|IWF,"IVV,IJS,IWD,IWF",0,4,0.15263124126135472,0.15781542419988248,0.9671503405651801,-0.16623159875345994,0.7804620933654921
069500|IVV|IWM|IJS,"069500,IVV,IWM,IJS",1,3,0.1636433450730468,0.1578915643281505,1.036428676664082,-0.1742070222797445,0.5227013411475769
226490|292190|ITOT|IJS,"226490,292190,ITOT,IJS",2,2,0.17776100297778763,0.15791368631679042,1.1256845883591213,-0.19251922119232423,0.4421341641605085
292190|275290|IVV|IJS,"292190,275290,IVV,IJS",2,2,0.19096807427215237,0.1579419634182689,1.2091028257412646,-0.1917840940925879,0.40992540288206225
226490|229200|ITOT|IWF,"226490,229200,ITOT,IWF",2,2,0.13461837817026012,0.15804579598409138,0.8517681684099372,-0.24052379765563947,0.4231626172363094
229200|226980|ITOT|IWF,"229200,226980,ITOT,IWF",2,2,0.11541558706269009,0.15819486281855194,0.7295786032892276,-0.23611573193227298,0.42683677954944566
069500|226490|IVV|IJS,"069500,226490,IVV,IJS",2,2,0.1834748903984219,0.15825904850832395,1.1593327024759137,-0.19225108017499326,0.42956780727812016
226490|275290|IVV|IWM,"226490,275290,IVV,IWM",2,2,0.1812317444178927,0.1582811304263863,1.1449990528225364,-0.1904798690652274,0.45075525618331547
229200|226980|IJS|IWF,"229200,226980,IJS,IWF",2,2,0.10925893445170204,0.15829758795586546,0.690212250626107,-0.22126993800682104,0.34372083295096917
292190|275290|IWM|IWD,"292190,275290,IWM,IWD",2,2,0.18521780460350779,0.1583367474494481,1.1697714370610144,-0.1912854935068018,0.437611760477895
069500|229200|ITOT|IWM,"069500,229200,ITOT,IWM",2,2,0.13435200441875572,0.1583419076700866,0.8484930262346273,-0.2280118542544639,0.3767232792782158
069500|ITOT|IWM|IWF,"069500,ITOT,IWM,IWF",1,3,0.1689483434721531,0.1583550064962842,1.066896129211535,-0.20600038765365414,0.5468066744653873
226980|275290|IWM|IJS,"226980,275290,IWM,IJS",2,2,0.1536073928918777,0.15837559838898616,0.9698930545765183,-0.18897185648676162,0.39657529260539315
