symbol,annual_return,annual_volatility,max_drawdown,sharpe_zero_rate,average_correlation,weekly_observations
069500,0.23278244417235472,0.24666579706396685,-0.3309643008171116,0.9437159385011461,0.4828809584809827,261
226490,0.189823120696893,0.2229474885223181,-0.30847344585363756,0.8514252479587399,0.5049702493800526,261
292190,0.21820316177363241,0.23859555222064427,-0.3305167370815729,0.9145315566144597,0.493565632267929,261
229200,-0.012806898384694732,0.27018172280473995,-0.4258327797285755,-0.04740105382313468,0.3426373851876035,261
226980,0.10275364441874446,0.2187107429381695,-0.33099340565837054,0.4698152593619664,0.39597535015909685,261
275290,0.2385145754941147,0.23925260988730113,-0.3071381646014091,0.996915250397753,0.4531210745424824,261
IVV,0.16464043881906454,0.15565739636695536,-0.15996100131822477,1.0577103476081025,0.5268653416815602,261
ITOT,0.15382039313309726,0.15755661282223626,-0.17191718310964754,0.9762864939642082,0.5396713448490961,261
IWM,0.10420024451413035,0.20046980010547405,-0.2523770227537987,0.5197802584693905,0.5130808526125374,261
IJS,0.11694560134758492,0.20196595548135288,-0.2443571023963288,0.5790362096862521,0.447514049515582,261
IWD,0.1538719218840261,0.14262861604416088,-0.11902757749827686,1.0788292430488426,0.47618428504009186,261
IWF,0.152902054507144,0.19460125814494883,-0.25331477973248695,0.7857197634007835,0.4927016801796759,261
